      Date,Close
2006-01-02,3578
2006-01-03,3604
2006-01-04,3615
2006-01-05,3652
2006-01-06,3650
2006-01-09,3667
2006-01-10,3671
2006-01-11,3645
2006-01-12,3667
2006-01-13,3670
2006-01-16,3628
2006-01-17,3639
2006-01-18,3609
2006-01-19,3572
2006-01-20,3593
2006-01-23,3550
2006-01-24,3544
2006-01-25,3532
2006-01-26,3578
2006-01-27,3643
2006-01-30,3684
2006-01-31,3676
2006-02-01,3686
2006-02-02,3728
2006-02-03,3677
2006-02-06,3678
2006-02-07,3682
2006-02-08,3680
2006-02-09,3672
2006-02-10,3725
2006-02-13,3696
2006-02-14,3728
2006-02-15,3733
2006-02-16,3730
2006-02-17,3757
2006-02-20,3767
2006-02-21,3767
2006-02-22,3778
2006-02-23,3819
2006-02-24,3812
2006-02-27,3828
2006-02-28,3840
2006-03-01,3775
2006-03-02,3807
2006-03-03,3763
2006-03-06,3737
2006-03-07,3751
2006-03-08,3745
2006-03-09,3736
2006-03-10,3754
2006-03-13,3801
2006-03-14,3823
2006-03-15,3834
2006-03-16,3844
2006-03-17,3840
2006-03-20,3833
2006-03-21,3842
2006-03-22,3840
2006-03-23,3869
2006-03-24,3859
2006-03-27,3872
2006-03-28,3829
2006-03-29,3811
2006-03-30,3835
2006-03-31,3872
2006-04-03,3859
2006-04-04,3875
2006-04-05,3853
2006-04-06,3866
2006-04-07,3860
2006-04-10,3822
2006-04-11,3840
2006-04-12,3786
2006-04-13,3777
2006-04-18,3779
2006-04-19,3778
2006-04-20,3820
2006-04-21,3863
2006-04-24,3884
2006-04-25,3864
2006-04-26,3873
2006-04-27,3889
2006-04-28,3865
2006-05-02,3839
2006-05-03,3865
2006-05-04,3822
2006-05-05,3845
2006-05-08,3877
2006-05-09,3879
2006-05-10,3883
2006-05-11,3864
2006-05-12,3829
2006-05-15,3746
2006-05-16,3711
2006-05-17,3734
2006-05-18,3607
2006-05-19,3608
2006-05-22,3622
2006-05-23,3541
2006-05-24,3617
2006-05-25,3579
2006-05-26,3647
2006-05-29,3696
2006-05-30,3677
2006-05-31,3581
2006-06-01,3634
2006-06-02,3656
2006-06-05,3636
2006-06-06,3598
2006-06-07,3536
2006-06-08,3556
2006-06-09,3470
2006-06-12,3519
2006-06-13,3476
2006-06-14,3410
2006-06-15,3423
2006-06-16,3508
2006-06-19,3469
2006-06-20,3474
2006-06-21,3519
2006-06-22,3542
2006-06-23,3545
2006-06-26,3554
2006-06-27,3540
2006-06-28,3503
2006-06-29,3519
2006-06-30,3592
2006-07-03,3648
2006-07-04,3664
2006-07-05,3656
2006-07-06,3624
2006-07-07,3657
2006-07-10,3645
2006-07-11,3656
2006-07-12,3632
2006-07-13,3617
2006-07-14,3545
2006-07-17,3512
2006-07-18,3491
2006-07-19,3497
2006-07-20,3593
2006-07-21,3580
2006-07-24,3559
2006-07-25,3639
2006-07-26,3635
2006-07-27,3649
2006-07-28,3671
2006-07-31,3708
2006-08-01,3687
2006-08-02,3655
2006-08-03,3695
2006-08-04,3677
2006-08-07,3707
2006-08-08,3672
2006-08-09,3674
2006-08-10,3686
2006-08-11,3682
2006-08-14,3690
2006-08-15,3712
2006-08-16,3767
2006-08-17,3792
2006-08-18,3798
2006-08-21,3789
2006-08-22,3788
2006-08-23,3793
2006-08-24,3761
2006-08-25,3784
2006-08-28,3778
2006-08-29,3810
2006-08-30,3815
2006-08-31,3823
2006-09-01,3808
2006-09-04,3824
2006-09-05,3835
2006-09-06,3818
2006-09-07,3766
2006-09-08,3745
2006-09-11,3745
2006-09-12,3744
2006-09-13,3799
2006-09-14,3809
2006-09-15,3800
2006-09-18,3813
2006-09-19,3807
2006-09-20,3782
2006-09-21,3840
2006-09-22,3839
2006-09-25,3815
2006-09-26,3838
2006-09-27,3877
2006-09-28,3893
2006-09-29,3898
2006-10-02,3902
2006-10-03,3886
2006-10-04,3884
2006-10-05,3921
2006-10-06,3939
2006-10-09,3932
2006-10-10,3946
2006-10-11,3956
2006-10-12,3966
2006-10-13,4002
2006-10-16,4000
2006-10-17,3993
2006-10-18,3958
2006-10-19,3986
2006-10-20,3991
2006-10-23,4001
2006-10-24,4018
2006-10-25,4011
2006-10-26,4026
2006-10-27,4029
2006-10-30,4007
2006-10-31,4003
2006-11-01,4003
2006-11-02,4003
2006-11-03,3979
2006-11-06,3991
2006-11-07,4047
2006-11-08,4064
2006-11-09,4071
2006-11-10,4067
2006-11-13,4063
2006-11-14,4087
2006-11-15,4089
2006-11-16,4107
2006-11-17,4106
2006-11-20,4074
2006-11-21,4095
2006-11-22,4105
2006-11-23,4099
2006-11-24,4076
2006-11-27,4045
2006-11-28,3976
2006-11-29,3983
2006-11-30,4027
2006-12-01,3993
2006-12-04,3935
2006-12-05,3966
2006-12-06,4007
2006-12-07,3997
2006-12-08,4011
2006-12-11,4024
2006-12-12,4052
2006-12-13,4063
2006-12-14,4100
2006-12-15,4119
2006-12-18,4140
2006-12-19,4121
2006-12-20,4108
2006-12-21,4111
2006-12-22,4109
2006-12-27,4079
2006-12-28,4137
2006-12-29,4130
